type_scenario	variable_column_x	city	predicted_cluster
srag	Cases	Estrela d'Oeste	11
srag	Cases	Rinópolis	11
srag	Cases	Rincão	11
srag	Cases	Duartina	11
srag	Cases	Monte Azul Paulista	11
srag	Cases	Ibirá	11
srag	Cases	Porto Alegre	9
srag	Cases	Passo Fundo	9
srag	Cases	Santo Ângelo	10
srag	Cases	Cruzeiro do Sul	10
srag	Cases	Santa Maria	9
srag	Cases	Bento Gonçalves	9
srag	Cases	Teutônia	10
srag	Cases	Carazinho	12
srag	Cases	Novo Hamburgo	9
srag	Cases	Farroupilha	10
srag	Cases	Camaquã	12
srag	Cases	Santa Cruz do Sul	12
srag	Cases	Estrela	10
srag	Cases	Lajeado	10
srag	Cases	Osório	12
srag	Cases	Canoas	10
srag	Cases	Pelotas	10
srag	Cases	Marau	1
srag	Cases	Caxias do Sul	9
srag	Cases	São Jerônimo	12
srag	Cases	Cachoeirinha	10
srag	Cases	Tenente Portela	12
srag	Cases	Rio Grande	10
srag	Cases	Parobé	12
srag	Cases	Sapiranga	12
srag	Cases	São Sebastião do Caí	12
srag	Cases	Ijuí	10
srag	Cases	Três Coroas	5
srag	Cases	Canela	12
srag	Cases	Santa Rosa	12
srag	Cases	Gramado	12
srag	Cases	Guaíba	12
srag	Cases	Antônio Prado	5
srag	Cases	Três Passos	12
srag	Cases	Esteio	12
srag	Cases	São Borja	12
srag	Cases	Gravataí	10
srag	Cases	Viamão	12
srag	Cases	São Leopoldo	12
srag	Cases	Uruguaiana	12
srag	Cases	Bagé	10
srag	Cases	Erechim	10
srag	Cases	Venâncio Aires	9
srag	Cases	Cachoeira do Sul	12
srag	Cases	Ivoti	12
srag	Cases	Tramandaí	12
srag	Cases	Vacaria	9
srag	Cases	Santiago	10
srag	Cases	Estância Velha	12
srag	Cases	Torres	10
srag	Cases	Garibaldi	10
srag	Cases	Rio Pardo	5
srag	Cases	Alegrete	10
srag	Cases	Tapera	5
srag	Cases	Getúlio Vargas	5
srag	Cases	Montenegro	10
srag	Cases	Taquari	12
srag	Cases	Santo Augusto	12
srag	Cases	Encantado	10
srag	Cases	São Gabriel	10
srag	Cases	Caçapava do Sul	8
srag	Cases	Capão da Canoa	10
srag	Cases	Rosário do Sul	8
srag	Cases	Sapucaia do Sul	9
srag	Cases	Alvorada	12
srag	Cases	Paraí	6
srag	Cases	Sarandi	10
srag	Cases	Nonoai	5
srag	Cases	São Luiz Gonzaga	12
srag	Cases	Candelária	11
srag	Cases	Triunfo	9
srag	Cases	Arroio do Meio	9
srag	Cases	Dom Pedrito	9
srag	Cases	Cruz Alta	9
srag	Cases	Sananduva	1
srag	Cases	Soledade	1
srag	Cases	Campo Bom	1
srag	Cases	Espumoso	1
srag	Cases	Igrejinha	9
srag	Cases	Bom Retiro do Sul	1
srag	Cases	Santo Antônio da Patrulha	9
srag	Cases	Nova Prata	1
srag	Cases	Palmeira das Missões	9
srag	Cases	São José do Norte	11
srag	Cases	Charqueadas	9
srag	Cases	Taquara	1
srag	Cases	Horizontina	1
srag	Cases	Giruá	1
srag	Cases	São Marcos	1
srag	Cases	Seberi	1
srag	Cases	Guaporé	1
srag	Cases	Três de Maio	1
srag	Cases	Tapejara	1
srag	Cases	Frederico Westphalen	9
srag	Cases	Ibirubá	11
srag	Cases	Encruzilhada do Sul	11
srag	Cases	Carlos Barbosa	9
srag	Cases	Veranópolis	9
srag	Cases	Canguçu	9
srag	Cases	Dois Irmãos	9
srag	Cases	Flores da Cunha	1
srag	Cases	Serafina Corrêa	11
srag	Cases	Tupanciretã	11
srag	Cases	Lagoa Vermelha	9
srag	Cases	Arroio Grande	1
srag	Cases	Nova Petrópolis	9
srag	Cases	Casca	11
srag	Cases	Panambi	9
srag	Cases	Rolante	11
srag	Cases	Santa Vitória do Palmar	11
srag	Cases	Santo Cristo	2
srag	Cases	Portão	1
srag	Cases	São Lourenço do Sul	11
srag	Cases	Imbé	2
srag	Cases	Tuparendi	11
srag	Cases	Salto do Jacuí	11
srag	Cases	Barra do Ribeiro	11
srag	Cases	Chapada	11
srag	Cases	Salvador do Sul	11
srag	Cases	Mostardas	11
srag	Cases	Cerro Largo	11
srag	Cases	São Pedro do Sul	11
srag	Cases	Não-Me-Toque	11
srag	Cases	Palmares do Sul	11
srag	Cases	Bom Princípio	11
srag	Cases	São Sepé	11
srag	Cases	Sobradinho	9
srag	Cases	Itaqui	9
srag	Cases	Constantina	9
srag	Cases	São Francisco de Paula	9
srag	Cases	Agudo	9
srag	Cases	Feliz	9
srag	Cases	Roca Sales	9
srag	Cases	Arroio do Sal	9
srag	Cases	Jaguarão	9
srag	Cases	Piratini	9
srag	Cases	Cidreira	9
srag	Cases	Pinheiro Machado	9
srag	Cases	São Francisco de Assis	9
srag	Cases	Quaraí	9
srag	Cases	Arroio do Tigre	9
srag	Cases	Balneário Pinhal	9
srag	Cases	Crissiumal	9
srag	Cases	Tapes	9
srag	Cases	Nova Santa Rita	9
srag	Cases	Barão	9
srag	Cases	Eldorado do Sul	9
srag	Cases	Nova Bassano	9
srag	Cases	Júlio de Castilhos	9
srag	Cases	Terra de Areia	9
srag	Cases	Restinga Sêca	9
srag	Cases	Araricá	9
srag	Cases	Nova Hartz	9
srag	Cases	Capão do Leão	9
srag	Cases	Morro Reuter	9
srag	Cases	Entre-Ijuís	9
srag	Cases	Butiá	9
srag	Cases	Três Cachoeiras	9
srag	Cases	Manaus	9
srag	Cases	Manacapuru	8
srag	Cases	Humaitá	2
srag	Cases	Presidente Figueiredo	8
srag	Cases	São Gabriel da Cachoeira	8
srag	Cases	Tefé	8
srag	Cases	Coari	8
srag	Cases	Parintins	1
srag	Cases	Iranduba	8
srag	Cases	Maués	8
srag	Cases	Manicoré	8
srag	Cases	Boca do Acre	8
srag	Cases	Rio Preto da Eva	8
srag	Cases	Itacoatiara	8
srag	Cases	Recife	9
srag	Cases	Garanhuns	1
srag	Cases	Salgueiro	1
srag	Cases	Condado	2
srag	Cases	São Lourenço da Mata	1
srag	Cases	Jaboatão dos Guararapes	1
srag	Cases	Palmares	8
srag	Cases	Vitória de Santo Antão	8
srag	Cases	Petrolina	10
srag	Cases	Cabo de Santo Agostinho	1
srag	Cases	Olinda	1
srag	Cases	Igarassu	2
srag	Cases	Caruaru	9
srag	Cases	Araripina	10
srag	Cases	Barreiros	5
srag	Cases	Ouricuri	0
srag	Cases	Arcoverde	9
srag	Cases	Itapissuma	2
srag	Cases	Gravatá	3
srag	Cases	Pesqueira	5
srag	Cases	Paulista	9
srag	Cases	Ipojuca	2
srag	Cases	Afogados da Ingazeira	3
srag	Cases	Bom Conselho	3
srag	Cases	Limoeiro	1
srag	Cases	Feira Nova	1
srag	Cases	Serra Talhada	1
srag	Cases	Moreno	1
srag	Cases	Bezerros	1
srag	Cases	Água Preta	2
srag	Cases	Glória do Goitá	2
srag	Cases	Águas Belas	2
srag	Cases	Santa Cruz do Capibaribe	1
srag	Cases	Tabira	2
srag	Cases	Paudalho	1
srag	Cases	Carpina	2
srag	Cases	João Alfredo	2
srag	Cases	Exu	1
srag	Cases	Camaragibe	1
srag	Cases	Bonito	1
srag	Cases	Brejo da Madre de Deus	2
srag	Cases	Timbaúba	1
srag	Cases	São José do Egito	1
srag	Cases	Taquaritinga do Norte	1
srag	Cases	Custódia	1
srag	Cases	Petrolândia	1
srag	Cases	Aliança	1
srag	Cases	Agrestina	1
srag	Cases	São José do Belmonte	1
srag	Cases	Cupira	1
srag	Cases	Escada	1
srag	Cases	Nazaré da Mata	1
srag	Cases	Itambé	1
srag	Cases	Buíque	1
srag	Cases	Lajedo	1
srag	Cases	São Bento do Una	1
srag	Cases	Toritama	1
srag	Cases	Bodocó	1
srag	Cases	Floresta	1
srag	Cases	Ipubi	1
srag	Cases	Pombos	1
srag	Cases	Surubim	1
srag	Cases	Belo Jardim	11
srag	Cases	Tamandaré	1
srag	Cases	Lagoa dos Gatos	1
srag	Cases	Abreu e Lima	1
srag	Cases	São Caitano	1
srag	Cases	São José da Coroa Grande	1
srag	Cases	Trindade	9
srag	Cases	Vicência	6
srag	Cases	Bom Jardim	6
srag	Cases	Passira	5
srag	Cases	Lagoa do Carro	1
srag	Cases	Orobó	1
srag	Cases	Ribeirão	1
srag	Cases	Araçoiaba	1
srag	Cases	Sanharó	1
srag	Cases	Betânia	1
srag	Cases	Camocim de São Félix	1
srag	Cases	Cabrobó	1
srag	Cases	Rio Formoso	1
srag	Cases	Canhotinho	1
srag	Cases	Santa Maria da Boa Vista	1
srag	Cases	Altinho	1
srag	Cases	Chã Grande	1
srag	Cases	Catende	1
srag	Cases	Sirinhaém	1
srag	Cases	Vertentes	1
srag	Cases	Macaparana	1
srag	Cases	Riacho das Almas	1
srag	Cases	São Luís	9
srag	Cases	Imperatriz	9
srag	Cases	São José de Ribamar	6
srag	Cases	Barreirinhas	6
srag	Cases	Chapadinha	6
srag	Cases	Vitorino Freire	6
srag	Cases	Caxias	6
srag	Cases	Porto Franco	2
srag	Cases	Pinheiro	10
srag	Cases	Pedreiras	2
srag	Cases	Timon	2
srag	Cases	Balsas	6
srag	Cases	Itapecuru Mirim	6
srag	Cases	Colinas	6
srag	Cases	Açailândia	6
srag	Cases	São João dos Patos	6
srag	Cases	Lago da Pedra	6
srag	Cases	São Raimundo das Mangabeiras	6
srag	Cases	Zé Doca	6
srag	Cases	Barra do Corda	6
srag	Cases	Presidente Dutra	6
srag	Cases	Santa Inês	6
srag	Cases	Coroatá	6
srag	Cases	Codó	6
srag	Cases	Vitória do Mearim	6
srag	Cases	Bacabal	6
srag	Cases	Viana	6
srag	Cases	Grajaú	6
srag	Cases	Fortaleza	9
srag	Cases	Maranguape	2
srag	Cases	Sobral	9
srag	Cases	Caucaia	1
srag	Cases	Limoeiro do Norte	2
srag	Cases	Acaraú	2
srag	Cases	Aracati	1
srag	Cases	São Gonçalo do Amarante	10
srag	Cases	Quixeramobim	9
srag	Cases	Itapipoca	1
srag	Cases	Juazeiro do Norte	9
srag	Cases	Tianguá	1
srag	Cases	Boa Viagem	0
srag	Cases	Barbalha	9
