city	total_waves	wave_order	peak	indexes	dates	case_numbers
Miguel Pereira	3	3	11	28,29,31,31,33,34,35,36	2021-w06,2021-w07,2021-w09,2021-w09,2021-w11,2021-w12,2021-w13,2021-w14	3,3,3,3,10,9,8,8
Mesquita	3	1	7	0,3,5,5,6,7,9,12,13	2020-w19,2020-w23,2020-w33,2020-w33,2021-w01,2021-w02,2021-w04,2021-w08,2021-w09	3,1,1,1,3,6,4,2,6
Mesquita	3	2	14	15,19,19,20,22,24,25,26,27	2021-w11,2021-w15,2021-w15,2021-w16,2021-w18,2021-w20,2021-w21,2021-w22,2021-w23	13,5,5,12,9,4,6,2,4
Mesquita	3	3	6	29,30,32,32,33,35,36,39,40	2021-w25,2021-w26,2021-w29,2021-w29,2021-w30,2021-w32,2021-w33,2021-w36,2021-w37	3,3,2,2,4,5,2,1,2
Itaocara	1	1	3	1,1,2,3,4,5,6,7,9,16,17,18	2020-w17,2020-w17,2020-w18,2020-w19,2020-w21,2020-w25,2020-w26,2020-w27,2020-w32,2020-w50,2020-w51,2020-w52	1,1,1,1,1,1,1,1,2,1,3,2
Conceição de Macabu	1	1	4	0,2,2,3,4,5,6,7,8,10,10,12,15,16,17	2020-w22,2020-w29,2020-w29,2020-w33,2020-w34,2020-w47,2020-w49,2020-w51,2020-w52,2021-w02,2021-w02,2021-w08,2021-w11,2021-w12,2021-w13	1,1,1,1,1,1,1,1,3,1,1,2,4,11,6
Pinheiral	1	1	4	0,3,5,5,6,8,8,9,10,12,12,13,14,16,16,18,18,20,21,22,23,24	2020-w17,2020-w25,2020-w28,2020-w28,2020-w29,2020-w32,2020-w32,2020-w37,2020-w40,2020-w43,2020-w43,2020-w47,2020-w49,2020-w51,2020-w51,2021-w01,2021-w01,2021-w03,2021-w04,2021-w05,2021-w08,2021-w10	1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,3,1,3,1,2
Quatis	1	1	12	0,1,3,3,4,5,7,7,8,10,10,12,13,14,15,16,17	2020-w14,2020-w15,2020-w18,2020-w18,2020-w19,2020-w21,2020-w23,2020-w23,2020-w26,2020-w28,2020-w28,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35	1,1,1,1,1,3,1,1,1,6,6,8,6,9,8,8,2
Cachoeiras de Macacu	1	1	3	0,1,4,5,7,8,9	2020-w14,2020-w15,2020-w18,2020-w19,2020-w21,2020-w22,2020-w23	2,3,1,2,2,1,3
Japeri	1	1	6	0,1,2,4,4,5,7,7,9,9,10,12,12,13,14,16,16,17,18,19,20,21,23,24,25	2020-w17,2020-w18,2020-w19,2020-w21,2020-w21,2020-w23,2020-w25,2020-w25,2020-w31,2020-w31,2020-w32,2020-w37,2020-w37,2020-w38,2020-w40,2021-w04,2021-w04,2021-w05,2021-w08,2021-w10,2021-w11,2021-w12,2021-w14,2021-w15,2021-w16	2,3,5,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,3,3,2,3
Casimiro de Abreu	3	1	3	1,1,2,4,5,6	2020-w23,2020-w23,2020-w24,2020-w26,2020-w27,2020-w28	1,1,1,2,1,3
Casimiro de Abreu	3	2	3	8,10,10,12,12,14,15,16,17,18,19,20	2020-w30,2020-w36,2020-w36,2020-w43,2020-w43,2020-w45,2020-w46,2020-w47,2020-w48,2020-w49,2020-w50,2020-w51	3,2,2,1,1,2,1,3,1,5,2,3
Casimiro de Abreu	3	3	10	22,23,25,25,26,27,28,30,33,34,35,36	2020-w53,2021-w02,2021-w06,2021-w06,2021-w07,2021-w09,2021-w10,2021-w12,2021-w23,2021-w24,2021-w25,2021-w26	2,3,1,1,1,7,10,9,1,2,1,3
Três Rios	1	1	4	0,1,3,3,4,5,7,10,11,12,13	2020-w18,2020-w19,2020-w21,2020-w21,2020-w22,2020-w23,2020-w25,2020-w28,2020-w29,2020-w32,2020-w33	1,3,1,1,1,2,3,3,3,2,2
Iguaba Grande	2	1	3	0,2,2,4,4,6,7,8	2020-w15,2020-w17,2020-w17,2020-w19,2020-w19,2020-w21,2020-w22,2020-w23	2,1,1,1,1,2,1,3
Iguaba Grande	2	2	7	10,11,12,13,15,15,16,18,18,19,21,22,23,24	2020-w27,2020-w32,2020-w39,2020-w42,2020-w47,2020-w47,2020-w48,2021-w04,2021-w04,2021-w09,2021-w11,2021-w12,2021-w13,2021-w14	1,1,1,1,1,1,1,1,1,1,6,5,3,2
Sapucaia	2	1	4	0,1,2,3,5,7,8	2020-w15,2020-w17,2020-w18,2020-w19,2020-w21,2020-w25,2020-w26	1,1,1,4,3,1,4
Sapucaia	2	2	5	10,11,13,13,14,16,16,17,19,19,21,23,24,25,26,27,28,29	2020-w29,2020-w52,2021-w03,2021-w03,2021-w05,2021-w07,2021-w07,2021-w09,2021-w12,2021-w12,2021-w15,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21,2021-w22,2021-w23	1,1,2,2,2,2,2,3,1,1,2,5,6,4,2,6,2,2
Areal	1	1	11	0,1,3,3,4,5,6,7,8,9,11,11,13,14,15,16,17,18,19	2020-w15,2020-w25,2020-w33,2020-w33,2020-w35,2020-w39,2020-w52,2020-w53,2021-w01,2021-w02,2021-w08,2021-w08,2021-w11,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17	1,1,1,1,1,1,1,1,1,2,3,3,10,4,7,5,3,2,4
Paracambi	1	1	6	0,1,2,4,4,5,6,7,8,9,11,11,12,13,14,15,16,17,18,20,20,22,23,31,32,33,34	2020-w17,2020-w22,2020-w23,2020-w34,2020-w34,2020-w35,2020-w37,2020-w40,2020-w47,2020-w48,2020-w51,2020-w51,2021-w01,2021-w02,2021-w04,2021-w08,2021-w09,2021-w10,2021-w11,2021-w13,2021-w13,2021-w15,2021-w16,2021-w31,2021-w32,2021-w36,2021-w38	1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,5,7,6,6,4,3,1,2,1,2
Cambuci	2	1	3	0,1,2,3,5,5,6,8,13,14	2020-w19,2020-w26,2020-w28,2020-w30,2020-w33,2020-w33,2020-w39,2020-w47,2021-w05,2021-w06	1,1,1,1,1,1,1,2,1,2
Cambuci	2	2	4	16,17,18,19,21,24,25	2021-w08,2021-w10,2021-w11,2021-w12,2021-w14,2021-w20,2021-w22	1,2,3,3,2,1,3
São Pedro da Aldeia	1	1	11	0,2,2,4,5,6,7	2021-w11,2021-w13,2021-w13,2021-w15,2021-w16,2021-w19,2021-w20	3,5,5,7,1,6,2
Curitiba	5	1	58	0,1,2,4,5,6,7,8	2020-w10,2020-w12,2020-w13,2020-w15,2020-w16,2020-w17,2020-w18,2020-w19	1,15,34,28,20,39,22,54
Curitiba	5	2	545	10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	2020-w21,2020-w22,2020-w23,2020-w24,2020-w25,2020-w26,2020-w27,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41,2020-w42,2020-w43	72,76,132,198,250,380,426,489,457,473,409,367,335,318,314,288,393,272,244,223,174,228
Curitiba	5	3	649	34,35,36,38,38,40,41,44,45,46,47	2020-w45,2020-w46,2020-w47,2020-w49,2020-w49,2020-w51,2020-w52,2021-w02,2021-w03,2021-w04,2021-w05	213,387,528,589,589,608,428,472,500,399,444
Curitiba	5	4	1088	49,50,51,52,54,55,56,57,58,59,60	2021-w07,2021-w08,2021-w09,2021-w10,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17,2021-w18	493,676,865,943,902,762,791,673,766,644,717
Curitiba	5	5	860	62,64,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85	2021-w20,2021-w22,2021-w22,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33,2021-w34,2021-w35,2021-w36,2021-w37,2021-w38,2021-w39,2021-w40,2021-w41,2021-w42,2021-w43	782,659,659,707,627,520,430,373,361,408,344,412,385,452,330,233,264,184,142,115,82,62,58
Guaraniaçu	2	1	3	1,1,3,3,4,5,6,8,8,9,10,11,13,13,15,15,16,18,18,20,20,21,23,27,28,29,30	2020-w21,2020-w21,2020-w27,2020-w27,2020-w28,2020-w29,2020-w30,2020-w32,2020-w32,2020-w33,2020-w34,2020-w35,2020-w44,2020-w44,2020-w48,2020-w48,2020-w49,2020-w51,2020-w51,2020-w53,2020-w53,2021-w01,2021-w03,2021-w08,2021-w09,2021-w10,2021-w11	1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,1,3,3,3,2,3,10,3,5
Guaraniaçu	2	2	9	32,34,34,35,37,37,38,40,40,41,43,46,47	2021-w13,2021-w15,2021-w15,2021-w16,2021-w18,2021-w18,2021-w19,2021-w22,2021-w22,2021-w23,2021-w25,2021-w28,2021-w29	2,2,2,3,1,1,1,2,2,5,5,3,5
Paranavaí	3	1	8	0,1,4,5,7,7,8,9,10,12,12,13,15,15,17,17,19,19,20,22,22,23,24,26,26,28,29,30	2020-w15,2020-w16,2020-w19,2020-w20,2020-w22,2020-w22,2020-w23,2020-w29,2020-w31,2020-w33,2020-w33,2020-w35,2020-w37,2020-w37,2020-w39,2020-w39,2020-w42,2020-w42,2020-w43,2020-w45,2020-w45,2020-w46,2020-w47,2020-w49,2020-w49,2020-w51,2020-w52,2020-w53	3,3,3,3,1,1,1,1,1,2,2,4,2,2,3,3,1,1,1,1,1,3,4,7,7,7,4,7
Paranavaí	3	2	9	32,34,34,36,37,38,39,40,41,42	2021-w02,2021-w04,2021-w04,2021-w06,2021-w07,2021-w08,2021-w09,2021-w10,2021-w11,2021-w12	7,5,5,6,4,8,5,9,5,8
Paranavaí	3	3	13	44,45,46,48,48,50,50,52,53,54,55,56,57,58,59,60,61,62,63,64	2021-w14,2021-w15,2021-w16,2021-w18,2021-w18,2021-w20,2021-w20,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33,2021-w34	5,6,6,5,5,6,6,7,6,4,8,4,3,7,3,1,4,2,1,2
Londrina	5	1	64	0,1,4,6,6,8,8,9,10,11,13,18,19,20,21	2020-w10,2020-w12,2020-w15,2020-w17,2020-w17,2020-w19,2020-w19,2020-w20,2020-w21,2020-w22,2020-w24,2020-w29,2020-w30,2020-w31,2020-w32	1,1,8,6,6,6,6,23,33,51,55,80,80,60,97
Londrina	5	2	119	23,24,26,26,28,29,30,31,32,33	2020-w34,2020-w35,2020-w37,2020-w37,2020-w39,2020-w40,2020-w41,2020-w42,2020-w43,2020-w44	89,134,119,119,91,85,63,57,52,61
Londrina	5	3	244	35,36,37,39,39,40,42,42,43,45,45,46,48,48,49,50,52,52,53,55,56,57,58	2020-w46,2020-w47,2020-w48,2020-w50,2020-w50,2020-w51,2020-w53,2020-w53,2021-w01,2021-w03,2021-w03,2021-w04,2021-w06,2021-w06,2021-w07,2021-w08,2021-w10,2021-w10,2021-w11,2021-w13,2021-w14,2021-w15,2021-w16	40,76,102,123,123,135,102,102,146,117,117,121,125,125,170,178,193,193,217,194,188,197,183
Londrina	5	4	250	60,61,62,64,65,66,67,68,69,70,71	2021-w18,2021-w19,2021-w20,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29	191,205,240,245,201,185,174,144,112,89,78
Londrina	5	5	142	73,74,76,76,77,78,80,81,82,83,84,85,86,87,88,89,90	2021-w31,2021-w32,2021-w34,2021-w34,2021-w35,2021-w36,2021-w38,2021-w39,2021-w40,2021-w41,2021-w42,2021-w43,2021-w44,2021-w45,2021-w46,2021-w47,2021-w48	81,108,100,100,110,133,115,90,83,64,44,28,39,14,18,6,8
Maringá	5	1	75	0,1,4,6,6,7,9,9,10,11,12,13,15,15,17,17,19,20,21,22,23,24,25	2020-w12,2020-w13,2020-w16,2020-w18,2020-w18,2020-w19,2020-w21,2020-w21,2020-w22,2020-w23,2020-w24,2020-w25,2020-w27,2020-w27,2020-w29,2020-w29,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37	2,10,3,2,2,2,5,5,9,22,27,55,62,62,68,68,73,69,73,71,82,66,77
Maringá	5	2	182	27,31,31,32,33,34,35,36,38,39,40	2020-w39,2020-w43,2020-w43,2020-w44,2020-w45,2020-w46,2020-w47,2020-w48,2020-w50,2020-w51,2020-w52	61,49,49,53,55,76,159,171,159,118,71
Maringá	5	3	312	42,43,45,45,46,47,48,49,51,52,53,54,55,56	2021-w01,2021-w02,2021-w04,2021-w04,2021-w05,2021-w06,2021-w07,2021-w08,2021-w10,2021-w11,2021-w12,2021-w13,2021-w14,2021-w15	91,102,89,89,99,145,191,261,286,236,264,202,157,181
Maringá	5	4	300	58,60,60,61,63,64,65,66,67,68,69,70,71,72,73	2021-w17,2021-w19,2021-w19,2021-w20,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32	119,115,115,150,219,215,196,177,123,105,65,64,43,66,60
Maringá	5	5	47	75,77,77,79,79,81,83,84,85,86,87,88,89	2021-w34,2021-w36,2021-w36,2021-w38,2021-w38,2021-w40,2021-w42,2021-w43,2021-w44,2021-w45,2021-w46,2021-w47,2021-w48	46,29,29,40,40,33,26,31,23,20,19,6,13
Campina Grande do Sul	5	1	29	0,1,2,3,4,5,6,8,11,12,13,14,15,16,17	2020-w14,2020-w18,2020-w19,2020-w21,2020-w22,2020-w23,2020-w24,2020-w26,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35	1,1,4,5,6,8,19,18,13,14,13,15,7,13,8
Campina Grande do Sul	5	2	7	19,22,24,25,26	2020-w37,2020-w40,2020-w42,2020-w43,2020-w44	14,6,4,2,8
Campina Grande do Sul	5	3	26	28,30,30,31,33,33,35,36,37,38,39	2020-w46,2020-w48,2020-w48,2020-w49,2020-w51,2020-w51,2020-w53,2021-w01,2021-w02,2021-w03,2021-w04	5,6,6,18,17,17,23,12,15,9,10
Campina Grande do Sul	5	4	69	41,42,43,44,45,46,48,51,52,53,54,55,56	2021-w06,2021-w07,2021-w08,2021-w09,2021-w10,2021-w11,2021-w13,2021-w16,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21	5,9,15,34,40,66,58,66,66,36,61,58,60
Campina Grande do Sul	5	5	28	58,63,65,65,66,68,68,70,71,72	2021-w23,2021-w28,2021-w30,2021-w30,2021-w31,2021-w33,2021-w33,2021-w35,2021-w36,2021-w37	61,14,23,23,24,25,25,21,12,12
Telêmaco Borba	4	1	5	0,2,2,3,5,7,8	2020-w12,2020-w20,2020-w20,2020-w23,2020-w25,2020-w27,2020-w28	1,1,1,1,3,7,11
Telêmaco Borba	4	2	10	10,11,13,13,14,16,16,18,18,20,20,22,23,24,25,26,27	2020-w30,2020-w31,2020-w33,2020-w33,2020-w34,2020-w36,2020-w36,2020-w38,2020-w38,2020-w40,2020-w40,2020-w42,2020-w43,2020-w44,2020-w45,2020-w46,2020-w47	8,21,17,17,19,12,12,10,10,10,10,6,4,2,10,8,19
Telêmaco Borba	4	3	74	29,32,33,35,35,37,37,39,39,40,42,43,44,45,46,47,48	2020-w49,2020-w52,2020-w53,2021-w02,2021-w02,2021-w04,2021-w04,2021-w06,2021-w06,2021-w07,2021-w09,2021-w10,2021-w11,2021-w12,2021-w13,2021-w14,2021-w15	7,2,6,3,3,5,5,8,8,30,59,27,23,26,20,16,15
Telêmaco Borba	4	4	22	50,51,53,53,54,56,57,58,59,60,61,62,63	2021-w17,2021-w18,2021-w20,2021-w20,2021-w21,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30	25,26,18,18,20,21,14,11,8,11,5,5,3
Campo Largo	6	1	4	0,1,2,4,5,6,7	2020-w12,2020-w14,2020-w15,2020-w17,2020-w18,2020-w19,2020-w20	1,2,3,3,2,12,9
Campo Largo	6	2	107	9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	2020-w22,2020-w23,2020-w24,2020-w25,2020-w27,2020-w28,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41	6,15,27,67,71,61,41,132,110,89,95,85,67,98,67,35,30,25,13
Campo Largo	6	3	154	30,32,32,33,35,35,37,38,42,43,44	2020-w43,2020-w45,2020-w45,2020-w46,2020-w48,2020-w48,2020-w50,2020-w51,2021-w02,2021-w03,2021-w04	16,41,41,78,107,107,102,58,106,139,55
Campo Largo	6	4	54	46,47,48,49,51,51,53,54,55,56	2021-w06,2021-w07,2021-w08,2021-w09,2021-w11,2021-w11,2021-w13,2021-w14,2021-w15,2021-w16	40,42,43,47,37,37,52,45,31,31
Campo Largo	6	5	64	58,59,61,62,63,64,65,66,67,68,69	2021-w18,2021-w19,2021-w21,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29	47,53,54,45,69,42,38,39,23,23,20
Campo Largo	6	6	82	71,72,74,76,77,78,79,80,81,82	2021-w31,2021-w32,2021-w34,2021-w36,2021-w37,2021-w38,2021-w39,2021-w40,2021-w41,2021-w42	20,21,48,45,138,39,9,9,5,5
Foz do Iguaçu	4	1	36	0,1,3,3,4,6,6,7,8,10,10,11,12,14,14,16,22,23,24	2020-w13,2020-w15,2020-w18,2020-w18,2020-w19,2020-w21,2020-w21,2020-w22,2020-w23,2020-w25,2020-w25,2020-w26,2020-w27,2020-w29,2020-w29,2020-w31,2020-w37,2020-w38,2020-w39	1,1,2,2,3,2,2,3,3,23,23,28,28,26,26,24,37,41,26
Foz do Iguaçu	4	2	38	26,27,29,31,32,33	2020-w41,2020-w42,2020-w44,2020-w46,2020-w47,2020-w48	17,19,29,36,38,37
Foz do Iguaçu	4	3	73	35,38,39,41,41,42,44,44,45,47,47,49,49,50,52,55,56,57,58,59,60,61	2020-w50,2020-w53,2021-w01,2021-w03,2021-w03,2021-w04,2021-w06,2021-w06,2021-w07,2021-w09,2021-w09,2021-w11,2021-w11,2021-w12,2021-w14,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21,2021-w22,2021-w23	30,26,39,32,32,38,41,41,55,56,56,50,50,61,48,58,108,79,51,64,57,64
Foz do Iguaçu	4	4	47	63,64,66,66,67,69,69,71,72,73,74,75,76,77,78,79	2021-w25,2021-w26,2021-w28,2021-w28,2021-w29,2021-w31,2021-w31,2021-w33,2021-w34,2021-w35,2021-w36,2021-w37,2021-w38,2021-w39,2021-w40,2021-w41	76,77,44,44,62,37,37,35,29,17,14,22,19,21,11,18
Palmas	5	1	9	0,1,3,3,5,5,7,7,8,9,10,11,13,13,14,15,16,18,18,19,21,21,22,23,25,25,26,27,29,29,30,31,33,33,35,35,37,39,40	2020-w20,2020-w25,2020-w28,2020-w28,2020-w36,2020-w36,2020-w38,2020-w38,2020-w39,2020-w40,2020-w41,2020-w42,2020-w46,2020-w46,2020-w47,2020-w48,2020-w49,2020-w51,2020-w51,2020-w52,2021-w03,2021-w03,2021-w05,2021-w07,2021-w09,2021-w09,2021-w10,2021-w11,2021-w13,2021-w13,2021-w15,2021-w16,2021-w18,2021-w18,2021-w20,2021-w20,2021-w23,2021-w25,2021-w26	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,4,4,4,5,4,4,3,3,6,2,6
Palmas	5	2	28	42,43,45,45,46,47,48,50,50,51,52,53,55,55,56,57,59,60,61,62,63,64,65,66	2021-w28,2021-w29,2020-w15,2020-w15,2020-w17,2020-w18,2020-w19,2020-w21,2020-w21,2020-w22,2020-w23,2020-w24,2020-w26,2020-w26,2020-w27,2020-w28,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37	2,2,1,1,4,7,10,11,11,13,13,13,14,14,17,26,24,23,28,27,25,24,18,24
Palmas	5	3	13	68,72,72,74,74,76,76,78,78,80,82,83,84	2020-w39,2020-w43,2020-w43,2020-w45,2020-w45,2020-w47,2020-w47,2020-w49,2020-w49,2020-w51,2020-w53,2021-w01,2021-w02	15,20,20,5,5,4,4,2,2,11,12,22,13
Palmas	5	4	39	86,87,89,89,90,92,92,93,94,96,96,98,99,100,101,102,103,104,105,106,107,108,109	2021-w04,2021-w05,2021-w07,2021-w07,2021-w08,2021-w10,2021-w10,2021-w11,2021-w12,2021-w14,2021-w14,2021-w16,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27	13,15,15,15,23,30,30,37,41,37,37,31,21,33,23,20,18,28,24,7,17,12,6
Palmas	5	5	6	111,113,113,115,115,117,118,119,120,121,122,123	2021-w29,2021-w31,2021-w31,2021-w33,2021-w33,2021-w35,2021-w36,2021-w37,2021-w38,2021-w39,2021-w41,2021-w42	6,3,3,1,1,5,2,4,1,2,1,2
Ivaiporã	2	1	8	0,2,2,3,4,6,6,8,8,10,10,12,15,16,17,18,19,20	2020-w14,2020-w21,2020-w21,2020-w24,2020-w25,2020-w27,2020-w27,2020-w29,2020-w29,2020-w31,2020-w31,2020-w33,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41	1,1,1,1,2,3,3,2,2,3,3,7,8,13,3,6,4,2
Ivaiporã	2	2	13	22,23,24,25,27,27,29,29,30,31,33,33,34,35,36,37,39,40,41,42,43,44,45,46,47,48	2020-w44,2020-w45,2020-w46,2020-w47,2020-w50,2020-w50,2020-w52,2020-w52,2020-w53,2021-w01,2021-w04,2021-w04,2021-w05,2021-w06,2021-w07,2021-w08,2021-w10,2021-w11,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17,2021-w19,2021-w20	1,1,1,1,3,3,1,1,1,1,1,1,2,2,6,10,12,7,14,9,5,9,4,3,2,4
Toledo	5	1	10	0,2,2,3,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	2020-w14,2020-w22,2020-w22,2020-w23,2020-w25,2020-w27,2020-w28,2020-w29,2020-w30,2020-w31,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41,2020-w42,2020-w43	1,3,3,4,7,9,15,12,5,12,5,9,8,7,19,16,25,14,16,8,7,5
Toledo	5	2	34	25,26,27,28,30,31,32,33,34,35,36	2020-w45,2020-w46,2020-w47,2020-w48,2020-w50,2020-w51,2020-w52,2020-w53,2021-w01,2021-w02,2021-w03	3,9,22,32,32,30,27,12,35,29,24
Toledo	5	3	29	38,39,40,41,43,43,44,46,46,48,50,51	2021-w05,2021-w06,2021-w07,2021-w08,2021-w10,2021-w10,2021-w11,2021-w13,2021-w13,2021-w15,2021-w17,2021-w18	24,32,63,63,47,47,49,26,26,27,41,46
Toledo	5	4	75	53,54,56,57,58,59,60,61,62	2021-w20,2021-w21,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29	49,75,67,45,29,24,34,20,34
Toledo	5	5	19	64,65,67,67,69,69,70,72,73,74,75,76,77,78,79	2021-w31,2021-w32,2021-w34,2021-w34,2021-w36,2021-w36,2021-w37,2021-w39,2021-w40,2021-w41,2021-w42,2021-w43,2021-w44,2021-w45,2021-w46	20,23,17,17,16,16,18,16,7,4,4,2,8,5,3
Francisco Beltrão	5	1	28	0,1,2,4,4,5,6,7,9,9,10,11,13,13,14,15,16,18,19,20,21,22	2020-w15,2020-w18,2020-w19,2020-w21,2020-w21,2020-w22,2020-w23,2020-w24,2020-w26,2020-w26,2020-w27,2020-w28,2020-w30,2020-w30,2020-w31,2020-w32,2020-w33,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39	1,1,1,1,1,1,1,3,4,4,6,8,7,7,15,15,27,20,13,6,10,8
Francisco Beltrão	5	2	35	24,26,26,27,28,29,30,32,33,34	2020-w41,2020-w43,2020-w43,2020-w44,2020-w45,2020-w46,2020-w47,2020-w49,2020-w50,2020-w51	6,6,6,7,14,15,28,29,26,37
Francisco Beltrão	5	3	19	36,38,38,40,47,48,49,50,51,52	2020-w53,2021-w02,2021-w02,2021-w04,2021-w11,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16	17,17,17,18,90,90,84,58,72,51
Francisco Beltrão	5	4	95	54,55,56,57,59,60,61,62,63,64,65,66,67,68	2021-w18,2021-w19,2021-w20,2021-w21,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32	53,82,86,94,93,81,44,34,29,39,20,17,15,12
Francisco Beltrão	5	5	11	70,72,72,74,74,76,76,77,79,79,81,84,85,86,87	2021-w34,2021-w36,2021-w36,2021-w38,2021-w38,2021-w40,2021-w40,2021-w41,2021-w43,2021-w43,2021-w45,2021-w48,2021-w49,2021-w50,2021-w51	9,10,10,7,7,6,6,7,5,5,7,3,4,3,3
Arapongas	4	1	30	0,2,2,3,4,6,6,7,8,10,10,11,12,13,15,15,17,18,19,20,21,22,23,24	2020-w14,2020-w17,2020-w17,2020-w19,2020-w21,2020-w23,2020-w23,2020-w24,2020-w25,2020-w27,2020-w27,2020-w28,2020-w29,2020-w30,2020-w32,2020-w32,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w43	1,1,1,1,3,4,4,4,5,10,10,13,16,21,15,15,12,8,12,8,7,6,4,2
Arapongas	4	2	26	26,28,28,29,30,32,34,35,36,37	2020-w46,2020-w48,2020-w48,2020-w49,2020-w50,2020-w52,2021-w01,2021-w02,2021-w03,2021-w04	1,1,1,7,19,22,14,20,18,22
Arapongas	4	3	40	39,40,42,44,45	2021-w06,2021-w07,2021-w09,2021-w11,2021-w12	15,27,27,13,32
Arapongas	4	4	14	47,50,52,52,53,55,55,57,57,58,60,61,62	2021-w14,2021-w17,2021-w19,2021-w19,2021-w20,2021-w22,2021-w22,2021-w24,2021-w24,2021-w25,2021-w27,2021-w28,2021-w29	33,18,11,11,23,17,17,10,10,13,10,5,3
Cianorte	2	1	12	0,2,2,3,4,5,6,8,8,10,10,12,12,13,15,15,16,18,18,19,20,22,22,23,25,25,26,27,29,29,31,31,32,34,35,36	2020-w11,2020-w17,2020-w17,2020-w18,2020-w19,2020-w22,2020-w23,2020-w25,2020-w25,2020-w27,2020-w27,2020-w29,2020-w29,2020-w30,2020-w32,2020-w32,2020-w33,2020-w37,2020-w37,2020-w38,2020-w39,2020-w42,2020-w42,2020-w43,2020-w47,2020-w47,2020-w48,2020-w49,2020-w51,2020-w51,2020-w53,2020-w53,2021-w01,2021-w03,2021-w04,2021-w05	1,1,1,1,1,2,5,4,4,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,5,5,7,13,10,10,8,8,9,8,6,12
Cianorte	2	2	21	38,39,40,41,42,44,44,46,46,47,49,49,50,52,52,54,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70	2021-w07,2021-w08,2021-w09,2021-w10,2021-w11,2021-w13,2021-w13,2021-w15,2021-w15,2021-w16,2021-w18,2021-w18,2021-w19,2021-w21,2021-w21,2021-w23,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33,2021-w34,2021-w35,2021-w36,2021-w37,2021-w38,2021-w39	9,16,17,18,20,12,12,11,11,14,15,15,15,13,13,12,13,15,14,12,8,9,5,4,3,2,3,2,8,5,4
