city	total_waves	wave_order	peak	indexes	dates	case_numbers
Santo André	5	3	276	42,44,44,45,47,47,48,49,50,51,53,54,57,58,59,60,61	2021-w01,2021-w03,2021-w03,2021-w04,2021-w06,2021-w06,2021-w07,2021-w08,2021-w09,2021-w10,2021-w12,2021-w13,2021-w16,2021-w17,2021-w18,2021-w19,2021-w20	99,82,82,102,90,90,117,133,178,226,247,174,121,218,190,145,158
Santo André	5	4	153	63,65,65,67,68,69,70,71,72,73,74,75,76,77	2021-w22,2021-w24,2021-w24,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32,2021-w33,2021-w34,2021-w35,2021-w36	137,135,135,112,110,88,62,54,54,44,31,34,21,16
Santo André	5	5	32	79,80,82,82,84,85,86,87,88,89	2021-w38,2021-w39,2021-w41,2021-w41,2021-w43,2021-w44,2021-w45,2021-w46,2021-w47,2021-w48	13,15,13,13,19,6,12,4,1,4
Santos	6	1	215	0,1,2,4,4,6,6,7,8,9,11,13,14,15,16,17,18,19,20,21	2020-w11,2020-w12,2020-w13,2020-w15,2020-w15,2020-w17,2020-w17,2020-w18,2020-w19,2020-w20,2020-w22,2020-w24,2020-w25,2020-w26,2020-w27,2020-w28,2020-w29,2020-w30,2020-w31,2020-w32	1,4,47,63,63,104,104,155,159,194,196,220,226,133,101,81,114,90,71,55
Santos	6	2	63	23,24,26,27,28,29,30	2020-w34,2020-w35,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41	55,60,54,38,36,35,51
Santos	6	3	123	32,34,34,36,36,37,39,40,41,42,43,44,45	2020-w43,2020-w45,2020-w45,2020-w47,2020-w47,2020-w48,2020-w50,2020-w51,2020-w52,2020-w53,2021-w01,2021-w02,2021-w03	58,80,80,89,89,105,116,101,74,48,84,82,63
Santos	6	4	180	47,48,49,50,51,52,54,55,56,57,58,59,60	2021-w05,2021-w06,2021-w07,2021-w08,2021-w09,2021-w10,2021-w12,2021-w13,2021-w14,2021-w15,2021-w16,2021-w17,2021-w18	61,64,74,93,124,133,156,134,121,128,72,138,136
Santos	6	5	29	62,69,71,71,73,73,75,76,77,78,79	2021-w20,2021-w27,2021-w29,2021-w29,2021-w31,2021-w31,2021-w33,2021-w34,2021-w35,2021-w36,2021-w37	140,32,27,27,16,16,24,23,11,10,19
Santos	6	6	16	81,83,83,84,86,87,88,89,90	2021-w39,2021-w41,2021-w41,2021-w42,2021-w44,2021-w45,2021-w46,2021-w47,2021-w48	15,9,9,9,13,4,11,9,5
Barueri	4	1	71	0,1,2,4,4,5,6,7,8,10,10,12,12,14,14,16,16,17,19,19,21,22,23,24,25,26,27,28,29,30,31,32,33	2020-w11,2020-w12,2020-w13,2020-w15,2020-w15,2020-w16,2020-w17,2020-w18,2020-w19,2020-w21,2020-w21,2020-w23,2020-w23,2020-w25,2020-w25,2020-w27,2020-w27,2020-w28,2020-w30,2020-w30,2020-w32,2020-w33,2020-w34,2020-w35,2020-w36,2020-w37,2020-w38,2020-w39,2020-w40,2020-w41,2020-w42,2020-w43,2020-w44	1,1,8,10,10,21,33,34,39,47,47,44,44,42,42,29,29,43,43,43,25,23,43,31,32,30,15,22,16,20,10,18,13
Barueri	4	2	69	35,37,37,38,40,41,42,43,44,45,46,47	2020-w46,2020-w48,2020-w48,2020-w49,2020-w51,2020-w52,2020-w53,2021-w01,2021-w02,2021-w03,2021-w04,2021-w05	27,28,28,43,59,48,37,58,46,38,35,34
Barueri	4	3	211	49,50,51,52,53,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74	2021-w07,2021-w08,2021-w09,2021-w10,2021-w11,2021-w13,2021-w15,2021-w16,2021-w17,2021-w18,2021-w19,2021-w20,2021-w21,2021-w22,2021-w23,2021-w24,2021-w25,2021-w26,2021-w27,2021-w28,2021-w29,2021-w30,2021-w31,2021-w32	40,78,100,162,188,160,127,129,120,124,114,126,118,142,130,100,90,68,74,45,23,19,11,23
